Weekday;Date;Game;Stage;Match;Goal;Country;Player;Minute;Goal_origin;Player_team;League;Player_Age
Sunday;20/11/2022;Game 1;Group A;Qatar 0-2 Ecuador;1;Ecuador;E. Valencia;16;Penalty kick;Fenerbahce;Super Lig (Turkey);33
Sunday;20/11/2022;Game 1;Group A;Qatar 0-2 Ecuador;2;Ecuador;E. Valencia;31;Assistance;Fenerbahce;Super Lig (Turkey);33
Monday;21/11/2022;Game 2;Group B;England 6-2 Iran;3;England;J. Bellingham;35;Assistance;B. Dortmund;Bundesliga (Germany);19
Monday;21/11/2022;Game 2;Group B;England 6-2 Iran;4;England;B. Saka;43;Assistance;Arsenal;Premier League (England);21
Monday;21/11/2022;Game 2;Group B;England 6-2 Iran;5;England;R. Sterling;45;Assistance;Chelsea;Premier League (England);28
Monday;21/11/2022;Game 2;Group B;England 6-2 Iran;6;England;B. Saka;62;Assistance;Arsenal;Premier League (England);21
Monday;21/11/2022;Game 2;Group B;England 6-2 Iran;7;Iran;M. Taremi;65;Assistance;FC Porto;Liga Portugal (Portugal);30
Monday;21/11/2022;Game 2;Group B;England 6-2 Iran;8;England;M. Rashford;71;Assistance;Manchester Utd;Premier League (England);25
Monday;21/11/2022;Game 2;Group B;England 6-2 Iran;9;England;J. Grealish;90;Assistance;Manchester City;Premier League (England);27
Monday;21/11/2022;Game 2;Group B;England 6-2 Iran;10;Iran;M. Taremi;103;Penalty kick;FC Porto;Liga Portugal (Portugal);30
Monday;21/11/2022;Game 3;Group A;Senegal 0-2 Netherlands;11;Netherlands;C. Gakpo;84;Assistance;PSV;Eredivisie (Netherlands);23
Monday;21/11/2022;Game 3;Group A;Senegal 0-2 Netherlands;12;Netherlands;D. Klaassen;99;Unassisted;Ajax;Eredivisie (Netherlands);29
Monday;21/11/2022;Game 4;Group B;USA 1-1 Wales;13;USA;T. Weah;36;Assistance;Lille;Ligue 1 (France);22
Monday;21/11/2022;Game 4;Group B;USA 1-1 Wales;14;Wales;G. Bale;82;Penalty kick;Los Angeles FC;MLS (USA);33
Tuesday;22/11/2022;Game 5;Group C;Argentina 1-2 Saudi Arabia;15;Argentina;L. Messi;10;Penalty kick;PSG;Ligue 1 (France);35
Tuesday;22/11/2022;Game 5;Group C;Argentina 1-2 Saudi Arabia;16;Saudi Arabia;Saleh Al Shehri;48;Assistance;Al-Hilal;Saudi Professional League (SA);29
Tuesday;22/11/2022;Game 5;Group C;Argentina 1-2 Saudi Arabia;17;Saudi Arabia;S. Aldawsari;53;Unassisted;Al-Hilal;Saudi Professional League (SA);31
Tuesday;22/11/2022;Game 6;Group D;Denmark 0-0 Tunisia;NA;NA;NA;NA;NA;NA;NA;NA
Tuesday;22/11/2022;Game 7;Group C;Mexico 0-0 Poland;NA;NA;NA;NA;NA;NA;NA;NA
Tuesday;22/11/2022;Game 8;Group D;France 4-1 Australia;18;Australia;C. Goodwin;9;Assistance;Adelaide Utd;A-League (Australia);30
Tuesday;22/11/2022;Game 8;Group D;France 4-1 Australia;19;France;A. Rabiot;27;Assistance;Juventus;Serie A (Italy);27
Tuesday;22/11/2022;Game 8;Group D;France 4-1 Australia;20;France;O. Giroud;32;Assistance;AC Milan;Serie A (Italy);36
Tuesday;22/11/2022;Game 8;Group D;France 4-1 Australia;21;France;K. Mbappé;68;Assistance;PSG;Ligue 1 (France);23
Tuesday;22/11/2022;Game 8;Group D;France 4-1 Australia;22;France;O. Giroud;71;Assistance;AC Milan;Serie A (Italy);36
Wednesday;23/11/2022;Game 9;Group F;Morocco 0-0 Croatia;NA;NA;NA;NA;NA;NA;NA;NA
Wednesday;23/11/2022;Game 10;Group E;Germany 1-2 Japan;23;Germany;I. Gundogan;33;Penalty kick;Manchester City;Premier League (England);32
Wednesday;23/11/2022;Game 10;Group E;Germany 1-2 Japan;24;Japan;R. Doan;75;Unassisted;Freiburg;Bundesliga (Germany);24
Wednesday;23/11/2022;Game 10;Group E;Germany 1-2 Japan;25;Japan;T. Asano;83;Assistance;Bochum;Bundesliga (Germany);28
Wednesday;23/11/2022;Game 11;Group E;Spain 7-0 Costa Rica;26;Spain;D. Olmo;11;Unassisted;RB Leipzig;Bundesliga (Germany);24
Wednesday;23/11/2022;Game 11;Group E;Spain 7-0 Costa Rica;27;Spain;Asensio;21;Assistance;Real Madrid;La Liga (Spain);26
Wednesday;23/11/2022;Game 11;Group E;Spain 7-0 Costa Rica;28;Spain;F. Torres;31;Penalty kick;Barcelona;La Liga (Spain);22
Wednesday;23/11/2022;Game 11;Group E;Spain 7-0 Costa Rica;29;Spain;F. Torres;54;Unassisted;Barcelona;La Liga (Spain);22
Wednesday;23/11/2022;Game 11;Group E;Spain 7-0 Costa Rica;30;Spain;Gavi;74;Assistance;Barcelona;La Liga (Spain);18
Wednesday;23/11/2022;Game 11;Group E;Spain 7-0 Costa Rica;31;Spain;C. Soler;90;Unassisted;PSG;Ligue 1 (France);25
Wednesday;23/11/2022;Game 11;Group E;Spain 7-0 Costa Rica;32;Spain;A. Morata;92;Assistance;Atl. Madrid;La Liga (Spain);30
Wednesday;23/11/2022;Game 12;Group F;Belgium 1-0 Canada;33;Belgium;M. Batshuayi;44;Assistance;Fenerbahce;Super Lig (Turkey);29
Thursday;24/12/2022;Game 13;Group G;Switzerland 1-0 Cameroon;34;Switzerland;B. Embolo;48;Assistance;Monaco;Ligue 1 (France);25
Thursday;24/12/2022;Game 14;Group H;Uruguay 0-0 South Korea;NA;NA;NA;NA;NA;NA;NA;NA
Thursday;24/12/2022;Game 15;Group H;Portugal 3-2 Ghana;35;Portugal;C. Ronaldo;65;Penalty kick;No Team;No Team;37
Thursday;24/12/2022;Game 15;Group H;Portugal 3-2 Ghana;36;Ghana;A. Ayew;73;Unassisted;Al-Sadd;QSL (Qatar);32
Thursday;24/12/2022;Game 15;Group H;Portugal 3-2 Ghana;37;Portugal;João Félix;78;Assistance;Atl. Madrid;La Liga (Spain);23
Thursday;24/12/2022;Game 15;Group H;Portugal 3-2 Ghana;38;Portugal;R. Leão;80;Assistance;AC Milan;Serie A (Italy);23
Thursday;24/12/2022;Game 15;Group H;Portugal 3-2 Ghana;39;Ghana;O. Bukari;89;Unassisted;Crvena zvezda;Super Liga (Serbia);24
Thursday;24/12/2022;Game 16;Group G;Brazil 2-0 Serbia;40;Brazil;Richarlison;62;Unassisted;Tottenham;Premier League (England);25
Thursday;24/12/2022;Game 16;Group G;Brazil 2-0 Serbia;41;Brazil;Richarlison;73;Assistance;Tottenham;Premier League (England);25
Friday;25/11/2022;Game 17;Group B;Wales 0-2 Iran;42;Iran;R. Cheshmi;98;Unassisted;Esteghlal F.C.;Persian Gulf Pro League (Iran);29
Friday;25/11/2022;Game 17;Group B;Wales 0-2 Iran;43;Iran;R. Rezaeian;101;Assistance;Sepahan;Persian Gulf Pro League (Iran);32
Friday;25/11/2022;Game 18;Group A;Qatar 1-3 Senegal;44;Senegal;B. Dia;41;Unassisted;Salernitana;Serie A (Italy);26
Friday;25/11/2022;Game 18;Group A;Qatar 1-3 Senegal;45;Senegal;F. Diedhiou;48;Assistance;Alanyaspor;Super Lig (Turkey);29
Friday;25/11/2022;Game 18;Group A;Qatar 1-3 Senegal;46;Qatar;M. Muntari;78;Assistance;Al-Duhail;QSL (Qatar);28
Friday;25/11/2022;Game 18;Group A;Qatar 1-3 Senegal;47;Senegal;B. Dieng;84;Assistance;Marseille;Ligue 1 (France);22
Friday;25/11/2022;Game 19;Group A;Netherlands 1-1 Ecuador;48;Netherlands;C. Gakpo;6;Assistance;PSV;Eredivisie (Netherlands);23
Friday;25/11/2022;Game 19;Group A;Netherlands 1-1 Ecuador;49;Ecuador;E. Valencia;49;Unassisted;Fenerbahce;Super Lig (Turkey);33
Friday;25/11/2022;Game 20;Group B;England 0-0 USA;NA;NA;NA;NA;NA;NA;NA;NA
Saturday;26/11/2022;Game 21;Group D;Tunisia 0-1 Australia;50;Australia;M. Duke;23;Unassisted;Okayama;J2 League (Japan);31
Saturday;26/11/2022;Game 22;Group C;Poland 2-0 Saudi Arabia;51;Poland;P. Zielinski;39;Assistance;Napoli;Serie A (Italy);28
Saturday;26/11/2022;Game 22;Group C;Poland 2-0 Saudi Arabia;52;Poland;R. Lewandowski;82;Unassisted;Barcelona;La Liga (Spain);34
Saturday;26/11/2022;Game 23;Group D;France 2-1 Denmark;53;France;K. Mbappé;61;Assistance;PSG;Ligue 1 (France);23
Saturday;26/11/2022;Game 23;Group D;France 2-1 Denmark;54;Denmark;A. Christensen;68;Assistance;Barcelona;La Liga (Spain);26
Saturday;26/11/2022;Game 23;Group D;France 2-1 Denmark;55;France;K. Mbappé;86;Assistance;PSG;Ligue 1 (France);23
Saturday;26/11/2022;Game 24;Group C;Argentina 2-0 Mexico;56;Argentina;L. Messi;64;Assistance;PSG;Ligue 1 (France);35
Saturday;26/11/2022;Game 24;Group C;Argentina 2-0 Mexico;57;Mexico;E. Fernández;87;Assistance;Benfica;Liga Portugal (Portugal);21
Sunday;27/11/2022;Game 25;Group E;Japan 0-1 Costa Rica;58;Costa Rica;K. Fuller;81;Assistance;Herediano;Primera Division (CR);28
Sunday;27/11/2022;Game 26;Group F;Belgium 0-2 Morocco;59;Morocco;R. Saiss;73;Assistance;Besiktas;Super Lig (Turkey);32
Sunday;27/11/2022;Game 26;Group F;Belgium 0-2 Morocco;60;Morocco;Z. Aboukhlal;92;Assistance;Toulouse;Ligue 1 (France);22
Sunday;27/11/2022;Game 27;Group F;Croatia 4-1 Canada;61;Canada;A. Davies;2;Assistance;Bayern Munich;Bundesliga (Germany);22
Sunday;27/11/2022;Game 27;Group F;Croatia 4-1 Canada;62;Croatia;A. Kramarić;36;Assistance;Hoffenheim;Bundesliga (Germany);31
Sunday;27/11/2022;Game 27;Group F;Croatia 4-1 Canada;63;Croatia;M. Livaja;44;Assistance;Hajduk Split;HNL (Croatia);29
Sunday;27/11/2022;Game 27;Group F;Croatia 4-1 Canada;64;Croatia;A. Kramarić;70;Assistance;Hoffenheim;Bundesliga (Germany);31
Sunday;27/11/2022;Game 27;Group F;Croatia 4-1 Canada;65;Croatia;L. Majer;94;Assistance;Rennes;Ligue 1 (France);24
Sunday;27/11/2022;Game 28;Group E;Spain 1-1 Germany;66;Spain;A. Morata;62;Assistance;Atl. Madrid;La Liga (Spain);30
Sunday;27/11/2022;Game 28;Group E;Spain 1-1 Germany;67;Germany;N. Fuellkrug;83;Assistance;Werder Bremen;Bundesliga (Germany);29
Monday;28/11/2022;Game 29;Group G;Cameroon 3-3 Serbia;68;Cameroon;J. Castelletto;29;Assistance;Nantes;Ligue 1 (France);27
Monday;28/11/2022;Game 29;Group G;Cameroon 3-3 Serbia;69;Serbia;S. Pavlovic;45;Assistance;Salzburg;Bundesliga (Austria);21
Monday;28/11/2022;Game 29;Group G;Cameroon 3-3 Serbia;70;Serbia;S. Milinković-Savić;45;Assistance;Lazio;Serie A (Italy);27
Monday;28/11/2022;Game 29;Group G;Cameroon 3-3 Serbia;71;Serbia;A. Mitrović;53;Assistance;Fulham;Premier League (England);28
Monday;28/11/2022;Game 29;Group G;Cameroon 3-3 Serbia;72;Cameroon;V. Aboubakar;63;Assistance;Al-Nassr;Saudi Professional League (SA);30
Monday;28/11/2022;Game 29;Group G;Cameroon 3-3 Serbia;73;Cameroon;E. Choupo-Moting;66;Assistance;Bayern Munich;Bundesliga (Germany);33
Monday;28/11/2022;Game 30;Group H;South Korea 2-3 Ghana;74;Ghana;M. Salisu;24;Unassisted;Southampton;Premier League (England);23
Monday;28/11/2022;Game 30;Group H;South Korea 2-3 Ghana;75;Ghana;M. Kudus;34;Assistance;Ajax;Eredivisie (Netherlands);22
Monday;28/11/2022;Game 30;Group H;South Korea 2-3 Ghana;76;Korea;Cho Gue-Sung;58;Assistance;Jeonbuk;K League 1 (SK);24
Monday;28/11/2022;Game 30;Group H;South Korea 2-3 Ghana;77;Korea;Cho Gue-Sung;61;Assistance;Jeonbuk;K League 1 (SK);24
Monday;28/11/2022;Game 30;Group H;South Korea 2-3 Ghana;78;Ghana;M. Kudus;68;Assistance;Ajax;Eredivisie (Netherlands);22
Monday;28/11/2022;Game 31;Group G;Brazil 1-0 Switzerland;79;Brazil;Casemiro;83;Assistance;Manchester Utd;Premier League (England);30
Monday;28/11/2022;Game 32;Group H;Portugal 2-0 Uruguay;80;Portugal;B. Fernandes;54;Assistance;Manchester Utd;Premier League (England);28
Monday;28/11/2022;Game 32;Group H;Portugal 2-0 Uruguay;81;Portugal;B. Fernandes;93;Penalty kick;Manchester Utd;Premier League (England);28
Tuesday;29/11/2022;Game 33;Group A;Netherlands 2-0 Qatar;82;Qatar;C. Gakpo;26;Assistance;PSV;Eredivisie (Netherlands);23
Tuesday;29/11/2022;Game 33;Group A;Netherlands 2-0 Qatar;83;Netherlands;F. de Jong;49;Unassisted;Barcelona;La Liga (Spain);25
Tuesday;29/11/2022;Game 34;Group A;Ecuador 1-2 Senegal;84;Senegal;I. Sarr;44;Penalty kick;Watford;Championship (England);24
Tuesday;29/11/2022;Game 34;Group A;Ecuador 1-2 Senegal;85;Ecuador;M. Caicedo;67;Assistance;Brighton;Premier League (England);21
Tuesday;29/11/2022;Game 34;Group A;Ecuador 1-2 Senegal;86;Senegal;K. Koulibaly;70;Unassisted;Chelsea;Premier League (England);31
Tuesday;29/11/2022;Game 35;Group B;Wales 0-3 England;87;England;M. Rashford;50;Unassisted;Manchester Utd;Premier League (England);25
Tuesday;29/11/2022;Game 35;Group B;Wales 0-3 England;88;England;P. Foden;51;Assistance;Manchester City;Premier League (England);22
Tuesday;29/11/2022;Game 35;Group B;Wales 0-3 England;89;England;M. Rashford;68;Assistance;Manchester Utd;Premier League (England);25
Tuesday;29/11/2022;Game 36;Group B;Iran 0-1 USA;90;USA;C. Pulisic;38;Assistance;Chelsea;Premier League (England);24
Wednesday;30/11/2022;Game 37;Group D;Tunisia 1-0 France;91;Tunisia;W. Khazri;58;Assistance;Montpellier;Ligue 1 (France);31
Wednesday;30/11/2022;Game 38;Group D;Australia 1-0 Denmark;92;Australia; M. Leckie;60;Assistance;Melbourne City;A-League (Australia);31
Wednesday;30/11/2022;Game 39;Group C;Poland 0-2 Argentina;93;Argentina;A. Mac Allister;46;Assistance;Brighton;Premier League (England);23
Wednesday;30/11/2022;Game 39;Group C;Poland 0-2 Argentina;94;Argentina;J. Alvarez;67;Assistance;Manchester City;Premier League (England);22
Wednesday;30/11/2022;Game 40;Group C;Saudi Arabia 1-2 Mexico;95;Mexico;H. Martin;47;Assistance;Club America;Liga MX (Mexico);30
Wednesday;30/11/2022;Game 40;Group C;Saudi Arabia 1-2 Mexico;96;Mexico;L. Chavez;52;Unassisted;Pachuca;Liga MX (Mexico);26
Wednesday;30/11/2022;Game 40;Group C;Saudi Arabia 1-2 Mexico;97;Saudi Arabia;S. Aldawsari;95;Assistance;Al-Hilal;Saudi Professional League (SA);31
Thursday;01/12/2022;Game 41;Group F;Croatia 0-0 Belgium;NA;NA;NA;NA;NA;NA;NA;NA
Thursday;01/12/2022;Game 42;Group F;Canada 1-2 Morocco;98;Morocco;H. Ziyech;4;Unassisted;Chelsea;Premier League (England);29
Thursday;01/12/2022;Game 42;Group F;Canada 1-2 Morocco;99;Morocco;Y. En-Nesyri;23;Assistance;Sevilla;La Liga (Spain);25
